,WindSpeed(m/s),"Wind.dP (Pa)",Air.Temp.(C),Baro.P(Pa),Fz(L),Fx(D),Fy(S),My(P),Mz(Y),Mx(R),Incidence,Yaw.Pos,Roll.Pos,
1," 0.2","   0.0",15.6,100232,"     0","   0.0","     0","   0.0","   0.0","   0.0"," -10.000","   0.000","   0.000",
2," 0.2","   0.1",15.6,100237,"    -2","  14.1","     0","   0.3","   0.0","   0.0","  -8.000","   0.000","   0.000",
3," 0.1","   0.0",15.6,100232,"    -4","  28.2","     0","   0.7","  -0.1","   0.0","  -6.000","   0.000","   0.000",
4," 0.3","   0.1",15.6,100235,"    -5","  42.4","     0","   1.1","  -0.1","   0.0","  -4.000","   0.000","   0.000",
5," 0.0","   0.0",15.6,100235,"    -5","  56.5","     0","   1.6","  -0.1","   0.0","  -2.000","   0.000","   0.000",
6," 0.1","   0.0",15.6,100238,"    -5","  56.5","     0","   1.6","  -0.1","   0.0","  -2.000","   0.000","   0.000",
7," 0.2","   0.1",15.6,100238,"    -5","  70.7","     0","   2.1","  -0.1","   0.0","   0.000","   0.000","   0.000",
8," 0.4","   0.1",15.6,100239,"    -5","  84.9","     0","   2.7","  -0.2","   0.0","   2.000","   0.000","   0.000",
9," 0.2","   0.0",15.6,100246,"    -4","  99.1","     0","   3.3","  -0.2","   0.0","   4.000","   0.000","   0.000",
10," 0.0","   0.0",15.6,100246,"    -2"," 113.3","     0","   4.0","  -0.3","   0.0","   6.000","   0.000","   0.000",
11," 0.1","   0.0",15.6,100247,"     0"," 127.3","     0","   4.7","  -0.3","   0.0","   8.000","   0.000","   0.000",
12," 0.1","   0.0",15.6,100253,"     0","   0.0","     0","   0.0","   0.0","   0.0"," -10.000","   0.000","   0.000",
