,WindSpeed(m/s),"Wind.dP (Pa)",Air.Temp.(C),Baro.P(Pa),Fz(L),Fx(D),Fy(S),My(P),Mz(Y),Mx(R),Incidence,Yaw.Pos,Roll.Pos,
1,20.0," 241.5",16.2,100342,"   -41","   0.0","     9"," -10.7","  -0.5","   0.6"," -10.000","   5.000","   0.000",
2,20.0," 241.8",16.2,100339,"   -29","  15.0","     9","  -9.8","  -0.7","   1.7","  -8.000","   5.000","   0.000",
3,20.0," 241.9",16.2,100339,"   -12","  30.7","     8","  -8.1","  -1.2","   2.1","  -6.000","   5.000","   0.000",
4,20.0," 242.3",16.2,100340,"     7","  46.2","     7","  -6.2","  -1.3","   1.9","  -4.000","   5.000","   0.000",
5,20.0," 241.8",16.2,100346,"    26","  60.8","     6","  -4.2","  -1.2","   1.7","  -2.000","   5.000","   0.000",
6,20.0," 241.9",16.3,100343,"    45","  74.3","     4","  -1.6","  -1.0","   1.4","   0.000","   5.000","   0.000",
7,20.0," 241.8",16.3,100345,"    64","  86.7","     3","   1.2","  -0.9","   1.2","   2.000","   5.000","   0.000",
8,20.0," 241.7",16.3,100347,"    82","  98.3","     2","   3.6","  -0.9","   0.9","   4.000","   5.000","   0.000",
9,20.0," 241.5",16.3,100347,"    96"," 110.1","     1","   5.0","  -1.0","   0.7","   6.000","   5.000","   0.000",
10,20.0," 241.4",16.3,100346,"   109"," 121.7","     1","   6.1","  -1.1","   0.4","   8.000","   5.000","   0.000",
11," 0.3","   0.1",16.3,100347,"     0","   0.0","     0","   0.0","   0.0","   0.0"," -10.000","   5.000","   0.000",
