,WindSpeed(m/s),"Wind.dP (Pa)",Air.Temp.(C),Baro.P(Pa),Fz(L),Fx(D),Fy(S),My(P),Mz(Y),Mx(R),Incidence,Yaw.Pos,Roll.Pos,
1,20.0," 241.7",15.9,100321,"   -43","  -0.4","    -6"," -10.8","   2.2","  -2.7"," -10.000","  -5.000","   0.000",
2,20.0," 242.5",15.9,100322,"   -30","  15.1","    -6","  -9.6","   2.1","  -2.7","  -8.000","  -5.000","   0.000",
3,20.0," 242.0",16.0,100326,"   -13","  30.8","    -7","  -7.9","   1.6","  -2.3","  -6.000","  -5.000","   0.000",
4,20.0," 242.1",16.0,100327,"     6","  46.3","    -7","  -6.0","   1.4","  -2.2","  -4.000","  -5.000","   0.000",
5,20.0," 242.0",16.0,100327,"    26","  61.0","    -8","  -3.8","   1.2","  -2.4","  -2.000","  -5.000","   0.000",
6,20.0," 241.7",16.1,100329,"    45","  74.4","    -8","  -1.3","   1.0","  -2.5","   0.000","  -5.000","   0.000",
7,20.0," 242.0",16.1,100324,"    63","  86.8","    -9","   1.3","   0.7","  -2.5","   2.000","  -5.000","   0.000",
8,20.0," 242.1",16.1,100329,"    81","  98.5","   -10","   3.8","   0.6","  -2.4","   4.000","  -5.000","   0.000",
9,20.0," 241.9",16.1,100330,"    95"," 110.0","   -11","   5.2","   0.8","  -2.3","   6.000","  -5.000","   0.000",
10,20.0," 241.8",16.1,100334,"   109"," 121.6","   -12","   6.3","   1.0","  -2.0","   8.000","  -5.000","   0.000",
11," 0.0","   0.0",16.3,100342,"     0","   0.0","     0","   0.0","   0.0","   0.0"," -10.000","  -5.000","   0.000",
